Target_File,Status,Primary_Source,Source_URL,Source_Year_or_Version,Chosen_Case_Basis,Specific_Use,Current_File_State,Notes
osme_grid_extract,current_build,Xiong et al. OSM Europe transmission dataset,https://www.nature.com/articles/s41597-025-04550-7,2025 paper / dataset version to be recorded,Germany nodal backbone for HOPE preprocessing,Network buses lines transformers staging,Pending raw download,Record exact archive name and any filtering to Germany
powerplantmatching_germany,current_build,powerplantmatching,https://github.com/PyPSA/powerplantmatching,release to be recorded,First-pass Germany fleet inventory,Fleet preprocessing staging,Pending raw download,Cross-check against MaStR and Kraftwerksliste before freezing build
mastr_validation_extract,validation_support,MaStR export entry point,https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/Monitoringberichte/Marktstammdatenregister/artikel.html,export version to be recorded,Germany-specific plant status and capacity QA,Generator fleet validation,Pending optional raw download,Use to validate large assets and ambiguous statuses
kraftwerksliste_validation_extract,validation_support,BNetzA Kraftwerksliste,https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/Versorgungssicherheit/Erzeugungskapazitaeten/Kraftwerksliste/start.html?gtp=861646_list%253D2&r=1,release to be recorded,Thermal fleet QA for study basis,Generator fleet validation,Pending optional raw download,Record exact file name and release date if used
smard_2025_month,current_build,SMARD download center,https://www.smard.de/en/downloadcenter/download-market-data,2025 month to be chosen,Official chronology for load and generation,Chronology staging,Pending raw download,Freeze exact month and files before preprocessing
opsd_time_series,reference_only,Open Power System Data time series package,https://data.open-power-system-data.org/time_series/2018-03-13/,2018-03-13 package release,Convenience access to DE-LU and control-area chronologies,Optional staging,Not yet staged,Use as helper layer rather than sole source of truth where official SMARD data exists
germany_bus_zone_map.csv,draft,Local preprocessing plus public TSO-area references,local preprocessing,Current Germany case build,Freeze Bus_id to TSO-zone assignment,Reference table template,Template created,This file is the main consistency layer for nodal and zonal aggregation
germany_generator_fleet_clean.csv,draft,powerplantmatching plus local preprocessing,local preprocessing,Current Germany case build,Freeze the canonical Germany generator fleet,Cleaned generator staging,Template created,Should be built once and reused by both nodal and zonal builds
germany_generator_bus_map.csv,draft,powerplantmatching plus local bus assignment,local preprocessing,Current Germany case build,Document assigned nodal bus for each generator,Reference table template,Template created,Review large plants manually
germany_hourly_chronology_clean.csv,draft,SMARD plus local preprocessing,local preprocessing,Current Germany case build,Freeze the canonical national hourly chronology,Chronology staging,Template created,Should be reused by both nodal and zonal builds
germany_zone_hourly_load_reference.csv,draft,OPSD or other documented helper chronology plus local preprocessing,local preprocessing,Current Germany case build,Freeze optional TSO-area hourly load shares,Zonal chronology helper staging,Template created,Use only as a helper layer and document the exact source
germany_border_interface_map.csv,draft,Local preprocessing plus public geography,local preprocessing,Current Germany case build,Document external interchange interface assumptions,Reference table template,Template created,Needed if nodal NI is localized to border buses
germany_interzonal_cutset_summary.csv,draft,Derived from nodal network and bus-zone map,local preprocessing,Current Germany case build,Derive zonal seam capacities from nodal cutsets,Reference table template,Template created,Should be derived not hand-tuned initially
