StorageId,PlantCode,PlantName,StorageType,State,County,LoadZone,Zone,PowerMW,EnergyMWh,AssignedBus,PlantLatitude,PlantLongitude,AssignedBusLatitude,AssignedBusLongitude,MappingMethod,DataSource
S1,547,Northfield Mountain,PHS,MA,Franklin,WCMA,ROP,1168.0,8760.0,146,42.610683,-72.471643,42.601363,-72.539648,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",FirstLight public page states Northfield Mountain can power for up to 7.5 hours each day; round-trip efficiency approximated at about 77%.
S2,8005,Bear Swamp,PHS,MA,Berkshire,WCMA,ROP,666.0,3028.0,98,42.6839,-72.9599,42.453273,-72.718177,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty","FERC/Brookfield public relicensing materials cite about 3,028 MWh generation storage and about 4,286 MWh pumping energy for Bear Swamp."
S3,539,Rocky River (CT),PHS,CT,Litchfield,CT,ROP,29.4,235.2,112,41.5826,-73.4349,41.460956,-73.115338,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 Rocky River pumped-storage plant with generic 8-hour long-duration fallback; public plant-specific duration not found.
S4,62604,Outer Cape Community Battery,BES,MA,Barnstable,SEMA,SENE,25.0,38.0,26,42.060267,-70.19419,41.863375,-70.622328,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S5,1507,William F Wyman Hybrid,BES,ME,Cumberland,ME,Maine,16.2,10.9,63,43.7508,-70.1567,43.928734,-70.263337,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S6,54639,Berlin Gorham,BES,NH,Coos,NH,NNE,14.0,14.0,76,44.3889,-71.1645,44.41925,-71.158171,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S7,1482,Bonny Eagle,BES,ME,York,ME,Maine,8.0,16.0,210,43.687688,-70.611553,43.7953,-70.144361,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S8,10493,Rumford Falls Hydro Facility,BES,ME,Oxford,ME,Maine,8.0,16.0,8,44.5486,-70.6283,44.443984,-70.345799,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S9,1615,Nantucket Hybrid,BES,MA,Nantucket,SEMA,SENE,6.0,48.0,42,41.2583,-70.0517,41.753927,-70.556972,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S10,54134,Great Lakes Hydro America - ME,BES,ME,Penobscot,ME,Maine,5.0,10.0,189,45.647179,-68.704368,45.573213,-68.500331,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
S11,54134,Great Lakes Hydro America - ME,BES,ME,Penobscot,ME,Maine,5.0,10.0,189,45.647179,-68.704368,45.573213,-68.500331,"Scored HOPE bus selection in same load zone using storage plant coordinates, grid strength, corridor proximity, and occupancy penalty",EIA-860 2024 Operable energy storage + Plant sheet
